"","user_id","username","t_group","location","country","lat","lng","followers_count","friends_count"
"1",10420,"JBenson2","C","Minneapolis, Minnesota","US",44.97775,-93.26501,216,146
"2",2953201,"LostinMemphis","T","Memphis, TN","US",35.14953,-90.04898,122,353
"3",9245612,"LVKen7","C","Columbia, TN","US",35.61507,-87.03528,399,620
"4",10625352,"00patriot","C","USA","US",37.09024,-95.71289,231,238
"5",13891942,"rlcleveland","C","","",0,0,72,625
"6",13944672,"phrenic","T","Little Rock, AR","US",34.74648,-92.28959,209,989
"7",14107163,"mich_linux_guy","C","Michigan, US","US",44.31484,-85.60236,860,104
"8",14115756,"jms_15904","C","","",0,0,23,210
"9",14469891,"btrader","C","Florida, USA","US",27.66483,-81.51575,433,1104
"10",14825402,"TheRightWife","C","Taylors, SC","US",34.92039,-82.29623,155,134
"11",14870411,"BarbNMass","T","","",0,0,577,18
"12",14886607,"mumbaihawk","T","Joplin Mo.","US",37.08423,-94.51328,21,10
"13",14921582,"robarmstrong","C","Reno, NV / NYC","US",39.52963,-119.8138,253,302
"14",15006358,"randybess","C","Dominican Republic","DO",18.73569,-70.16265,160,435
"15",15222595,"cabbageguy","T","Caledonia, MI","US",42.7892,-85.51669,137,557
"16",15487216,"tjlewis226","C","","",0,0,149,83
"17",15501473,"ISPtpr1151","C","Madison County, IL","US",38.90414,-89.92532,260,777
"18",15501644,"Fireltb","T","","",0,0,42,49
"19",15502170,"gstark","C","Bogota Colombia","CO",4.71099,-74.07209,236,273
"20",15549116,"TrudyG","C","NEW Jersey ","US",40.05832,-74.40566,223,404
"21",15549669,"darsh5000","C","765/212","FI",61.11222,22.56601,379,1334
"22",15552727,"mcrumr","T","Hollywood, Fl","US",26.0112,-80.14949,701,1954
"23",15636736,"rolivier","C","France","FR",46.22764,2.21375,154,199
"24",15856232,"daisyraisler","C","Florida","US",27.66483,-81.51575,42,14
"25",15905863,"Mike_Demarest","C","New York, New Jersey","US",40.71278,-74.00594,446,611
"26",15975961,"edlavallie","C","Wisconsin, USA","US",43.78444,-88.78787,73,98
"27",15979927,"Barway","T","Virginia Beach,Virginia","US",36.85293,-75.97799,473,2014
"28",15984832,"McTagh","C","Goochland, VA","US",37.68414,-77.88537,19,64
"29",16097934,"curtisbwp","C","Florida USA","US",27.66483,-81.51575,6,14
"30",16156816,"funrunners","C","PA","US",41.20332,-77.19452,213,490
"31",16162836,"FrankieFusco","T","","",0,0,118,110
"32",16166128,"serendipitea","C","","",0,0,NA,NA
"33",16187280,"fentonlawless","C","","",0,0,555,679
"34",16201634,"jponticel","C","","",0,0,81,123
"35",16212796,"fromasta_m","C","","",0,0,4,44
"36",16226368,"Bakerfour","C","","",0,0,8,7
"37",16383061,"TopTurtle","C","Madison Al","US",34.69926,-86.74833,9,22
"38",16535930,"PetalBelle","C","New York, NY/ Philadelphia, Pa","US",40.71278,-74.00594,498,916
"39",16747121,"slickfox","T","","",0,0,72,404
"40",16806656,"LandmarkLarry","C"," Palm Beach, FL","US",26.70562,-80.03643,41,49
"41",16845216,"borgmanjj","C","","",0,0,178,374
"42",16950680,"greenliving3","T","US","US",37.09024,-95.71289,380,668
"43",17059701,"thomasz28","C","Canton, MA","US",42.15843,-71.14477,42,29
"44",17086856,"MamaD55","T","Palmdale, Ca.","US",34.57943,-118.11646,49,355
"45",17240764,"witchE","T","","",0,0,8,29
"46",17298664,"sheliawelch","C","U.S.","US",37.09024,-95.71289,38,132
"47",17417070,"Stanleyj","C","Garland, Tx.","US",32.91262,-96.63888,54,53
"48",17501279,"confederateflag","C","New Jersey, USA","US",40.05832,-74.40566,68,52
"49",17581438,"jcoscino","C","Mandeville, Louisiana","US",30.35825,-90.06563,274,432
"50",17642716,"TonyClevenger","C","phoenix az metrosuperplex","US",33.44838,-112.07404,51,412
"51",17648540,"Providential","C","Fort Myers, FL","US",26.64063,-81.87231,156,192
"52",17693831,"Punkido","T","","",0,0,267,12
"53",17735910,"Hankers","C","Iroquois, ON - Canada","CA",44.8487,-75.3162,586,441
"54",17756228,"richierich62576","C","Keene, NY","US",44.25616,-73.79209,170,168
"55",17778921,"Padraigen","C","Colorado Native","US",38.93184,-104.86733,773,977
"56",17870083,"rayj00","C","United States","US",37.09024,-95.71289,15,15
"57",17887097,"venitta","C","oklahoma city","US",35.46756,-97.51643,34,27
"58",17951957,"djbasham","C","","",0,0,NA,NA
"59",18081837,"mountainattic","C","Colorado, USA","US",39.55005,-105.78207,51,224
"60",18084009,"RoboStyle","C","USA","US",37.09024,-95.71289,78,119
"61",18128814,"h5guy","C","Kansas City","US",39.09973,-94.57857,374,264
"62",18150885,"KathCT","C","Connecticut","US",41.60322,-73.08775,5,92
"63",18195204,"mrrolling","C","Southwest Michigan","US",44.31484,-85.60236,337,423
"64",18225323,"bigal64","C","Washburn, MT","US",44.79772,-110.43437,209,283
"65",18281493,"polina6","C","","",0,0,17,30
"66",18326379,"VitaBellaMakeup","C","Staten Island, NY","US",40.57953,-74.1502,606,889
"67",18397614,"jwk6422","C","","",0,0,42,156
"68",18557659,"mcgilh","T","Boston South Shore","US",42.29513,-71.12249,65,244
"69",18568363,"pyrrhophytes","T","","",0,0,50,9
